variant,genre_id,genre_name,precision,recall,f1,support
original,12,Adventure,0.5458015267175572,0.7258883248730964,0.6230936819172114,197
original,14,Fantasy,0.47770700636942676,0.5434782608695652,0.5084745762711864,138
original,16,Animation,0.5338345864661654,0.6283185840707964,0.5772357723577236,113
original,18,Drama,0.5540838852097131,0.9313543599257885,0.6948096885813149,539
original,27,Horror,0.5492957746478874,0.6802325581395349,0.6077922077922078,172
original,28,Action,0.5597014925373134,0.8181818181818182,0.6646971935007385,275
original,35,Comedy,0.530239099859353,0.8627002288329519,0.6567944250871081,437
original,36,History,0.5,0.43103448275862066,0.46296296296296297,58
original,37,Western,0.8,0.21052631578947367,0.3333333333333333,19
original,53,Thriller,0.5180467091295117,0.746177370030581,0.6115288220551378,327
original,80,Crime,0.49606299212598426,0.6702127659574468,0.5701357466063348,188
original,878,Science Fiction,0.6402439024390244,0.7142857142857143,0.6752411575562701,147
original,9648,Mystery,0.42857142857142855,0.391304347826087,0.4090909090909091,115
original,10402,Music,0.5806451612903226,0.5,0.5373134328358209,36
original,10749,Romance,0.5142857142857142,0.6956521739130435,0.5913757700205339,207
original,10751,Family,0.58125,0.6788321167883211,0.6262626262626263,137
original,10752,War,0.7435897435897436,0.6744186046511628,0.7073170731707317,43
original,10770,TV Movie,0.0,0.0,0.0,14
shuffled,12,Adventure,0.5482625482625483,0.7208121827411168,0.6228070175438597,197
shuffled,14,Fantasy,0.4634146341463415,0.5507246376811594,0.5033112582781457,138
shuffled,16,Animation,0.5070422535211268,0.6371681415929203,0.5647058823529412,113
shuffled,18,Drama,0.5532150776053215,0.9257884972170687,0.6925746009715475,539
shuffled,27,Horror,0.587378640776699,0.7034883720930233,0.6402116402116402,172
shuffled,28,Action,0.5628140703517588,0.8145454545454546,0.6656760772659732,275
shuffled,35,Comedy,0.5294924554183813,0.8832951945080092,0.6620926243567753,437
shuffled,36,History,0.4716981132075472,0.43103448275862066,0.45045045045045046,58
shuffled,37,Western,0.75,0.15789473684210525,0.2608695652173913,19
shuffled,53,Thriller,0.5222929936305732,0.7522935779816514,0.6165413533834586,327
shuffled,80,Crime,0.5,0.6595744680851063,0.5688073394495413,188
shuffled,878,Science Fiction,0.6242424242424243,0.7006802721088435,0.6602564102564102,147
shuffled,9648,Mystery,0.4368932038834951,0.391304347826087,0.41284403669724773,115
shuffled,10402,Music,0.5862068965517241,0.4722222222222222,0.5230769230769231,36
shuffled,10749,Romance,0.5239852398523985,0.6859903381642513,0.5941422594142259,207
shuffled,10751,Family,0.5481927710843374,0.6642335766423357,0.6006600660066007,137
shuffled,10752,War,0.5909090909090909,0.6046511627906976,0.5977011494252874,43
shuffled,10770,TV Movie,0.0,0.0,0.0,14
masked,12,Adventure,0.39429928741092635,0.8426395939086294,0.5372168284789643,197
masked,14,Fantasy,0.3901345291479821,0.6304347826086957,0.481994459833795,138
masked,16,Animation,0.3407079646017699,0.6814159292035398,0.45427728613569324,113
masked,18,Drama,0.58375,0.8664192949907236,0.6975354742345033,539
masked,27,Horror,0.5737704918032787,0.6104651162790697,0.5915492957746479,172
masked,28,Action,0.5607734806629834,0.7381818181818182,0.6373626373626373,275
masked,35,Comedy,0.4785714285714286,0.919908466819222,0.6296006264682851,437
masked,36,History,0.4827586206896552,0.2413793103448276,0.3218390804597701,58
masked,37,Western,1.0,0.10526315789473684,0.19047619047619047,19
masked,53,Thriller,0.5191815856777494,0.6207951070336392,0.5654596100278552,327
masked,80,Crime,0.5088757396449705,0.4574468085106383,0.48179271708683474,188
masked,878,Science Fiction,0.5747126436781609,0.6802721088435374,0.6230529595015576,147
masked,9648,Mystery,0.4166666666666667,0.21739130434782608,0.2857142857142857,115
masked,10402,Music,0.25,0.08333333333333333,0.125,36
masked,10749,Romance,0.48623853211009177,0.5120772946859904,0.4988235294117647,207
masked,10751,Family,0.3724137931034483,0.7883211678832117,0.5058548009367682,137
masked,10752,War,0.7272727272727273,0.37209302325581395,0.49230769230769234,43
masked,10770,TV Movie,0.0,0.0,0.0,14
first_25,12,Adventure,0.4945054945054945,0.45685279187817257,0.47493403693931396,197
first_25,14,Fantasy,0.4673913043478261,0.3115942028985507,0.3739130434782609,138
first_25,16,Animation,0.5229357798165137,0.504424778761062,0.5135135135135135,113
first_25,18,Drama,0.49662487945998074,0.9554730983302412,0.6535532994923858,539
