variant,source_file,rows,threshold,macro_f1,micro_f1,exact_match,hamming_loss,mean_predicted_labels,macro_f1_change_vs_original,micro_f1_change_vs_original
original,original.csv,1198,0.25,0.5476366321890084,0.624383744170553,0.07429048414023372,0.13072713782229642,3.6252086811352253,0.0,0.0
shuffled,shuffled.csv,1198,0.25,0.5353738141310233,0.623203831825439,0.07262103505843072,0.13132999443516974,3.634390651085142,-0.012262818057985125,-0.0011799123451139426
masked,masked.csv,1198,0.25,0.4511031930117359,0.5722573839662447,0.04674457429048414,0.150435911704693,3.691151919866444,-0.09653343917727247,-0.052126360204308275
first_25,first_25.csv,1198,0.25,0.4195075034713693,0.5256002314145213,0.0642737896494157,0.152105360786496,3.1318864774624373,-0.1281291287176391,-0.0987835127560317
first_50,first_50.csv,1198,0.25,0.4907079413014639,0.5791982057751612,0.06093489148580968,0.13921350398812837,3.315525876460768,-0.056928690887544486,-0.045185538395391744
first_75,first_75.csv,1198,0.25,0.5188059670921147,0.6057081022588936,0.0651085141903172,0.13517900204043776,3.531719532554257,-0.028830665096893693,-0.01867564191165938
