model,variant,seed,n_movies,n_genres,macro_f1,macro_f1_ci_low,macro_f1_ci_high,micro_f1,micro_f1_ci_low,micro_f1_ci_high,exact_match,hamming_loss,mean_predicted_labels
sbert_lr,original,42,1198,18,0.5476366321890084,0.5253799923003746,0.5685828257613581,0.624383744170553,0.6119549213078027,0.6362443820086804,0.07429048414023372,0.13072713782229642,3.6252086811352253
sbert_lr,shuffled,42,1198,18,0.5353738141310233,0.5120381135331702,0.5554541730479607,0.623203831825439,0.6116848021388837,0.6347342192556668,0.07262103505843072,0.13132999443516974,3.634390651085142
sbert_lr,masked,42,1198,18,0.4511031930117359,0.4283675520920142,0.4726368374096065,0.5722573839662447,0.5582122753638832,0.5853744931361827,0.04674457429048414,0.150435911704693,3.691151919866444
sbert_lr,first_25,42,1198,18,0.4195075034713693,0.39357411485238347,0.43924712331363763,0.5256002314145213,0.5109081910443289,0.5406063040611705,0.0642737896494157,0.152105360786496,3.1318864774624373
sbert_lr,first_50,42,1198,18,0.4907079413014639,0.4673200617425513,0.5131417567916275,0.5791982057751612,0.5652440412146738,0.5933191082148052,0.06093489148580968,0.13921350398812837,3.315525876460768
sbert_lr,first_75,42,1198,18,0.5188059670921147,0.492834985454405,0.5416340231732867,0.6057081022588936,0.5930418805614021,0.6184993650335825,0.0651085141903172,0.13517900204043776,3.531719532554257
tfidf_lr,original,42,1198,18,0.5518492235129829,0.5232498487156142,0.5755645740393757,0.6091112770724422,0.5943155767341343,0.6239356044167346,0.12186978297161936,0.12135967352995734,2.9490818030050083
tfidf_lr,shuffled,42,1198,18,0.5510974180959757,0.5217304938954245,0.5742596268104063,0.6081626551053969,0.5936908713398729,0.6229578274822147,0.12186978297161936,0.12154516787237989,2.9440734557595993
tfidf_lr,masked,42,1198,18,0.45561196662490666,0.42765256188898604,0.4818711045693212,0.5427794658563889,0.5276132394257171,0.5586796866998983,0.08848080133555926,0.132582081246522,2.5801335559265444
tfidf_lr,first_25,42,1198,18,0.4048356815997708,0.37877478185950747,0.42885683384246265,0.4816633922724296,0.4646766761694604,0.49812378572872384,0.06093489148580968,0.14681877202745316,2.4590984974958263
tfidf_lr,first_50,42,1198,18,0.47287483851211726,0.4441013441759857,0.49697318671762614,0.5430295331851381,0.5275879381257577,0.5589709634225313,0.09432387312186978,0.13346317937302912,2.617696160267112
tfidf_lr,first_75,42,1198,18,0.5204569025866688,0.4899628251036436,0.5448964778556045,0.5765014667284236,0.5609917220291897,0.5910154191561945,0.10601001669449082,0.12720274531626785,2.7671118530884806
