model,variant,macro_f1,micro_f1,macro_f1_drop,micro_f1_drop,macro_f1_relative_drop_pct,micro_f1_relative_drop_pct
sbert_lr,shuffled,0.5353738141310233,0.623203831825439,0.012262818057985125,0.0011799123451139426,2.239225306928117,0.18897230367221807
sbert_lr,masked,0.4511031930117359,0.5722573839662447,0.09653343917727247,0.052126360204308275,17.62727938622547,8.348449281547879
sbert_lr,first_25,0.4195075034713693,0.5256002314145213,0.1281291287176391,0.0987835127560317,23.396741778482287,15.820961656722531
sbert_lr,first_50,0.4907079413014639,0.5791982057751612,0.056928690887544486,0.045185538395391744,10.395340183871488,7.236821716974286
sbert_lr,first_75,0.5188059670921147,0.6057081022588936,0.028830665096893693,0.01867564191165938,5.264561098049999,2.991051910947581
tfidf_lr,shuffled,0.5510974180959757,0.6081626551053969,0.0007518054170072563,0.00094862196704526,0.13623384521978388,0.15573869713997096
tfidf_lr,masked,0.45561196662490666,0.5427794658563889,0.09623725688807627,0.06633181121605325,17.439049071310723,10.88993320479344
tfidf_lr,first_25,0.4048356815997708,0.4816633922724296,0.14701354191321214,0.12744788480001257,26.640164677110118,20.923579910154096
tfidf_lr,first_50,0.47287483851211726,0.5430295331851381,0.07897438500086568,0.06608174388730403,14.31086275670146,10.84887874756009
tfidf_lr,first_75,0.5204569025866688,0.5765014667284236,0.031392320926314166,0.03260981034401855,5.688568469205361,5.353670432888774
