genre_id,keyword,weight
12,adventure,3.631827284082238
12,world,3.2229101301541467
12,quest,3.018373187947039
12,king,2.4976838238093104
12,evil,2.4323564569143805
12,jungle,2.3726878379400733
12,planet,2.2845579828013305
12,island,2.1913205007176995
12,lost,2.1716246528456495
12,mission,2.141871576104881
14,magical,3.549110166233298
14,king,3.12704599440472
14,vampire,3.123271081887856
14,evil,2.972138007650547
14,witch,2.949520822330425
14,magic,2.9151522352944172
14,mysterious,2.875345249227777
14,monsters,2.6823112837094776
14,god,2.494948701162018
14,monster,2.4754610951875904
16,named,3.636426687782596
16,king,3.198062471582268
16,batman,2.9796587606648544
16,adventure,2.8874822256118793
16,naruto,2.6178544999484217
16,princess,2.588779023979791
16,world,2.365969594045991
16,animated,2.3574109616155865
16,heart,2.356752989119438
16,magical,2.2630770957534816
18,life,2.8258213645640757
18,love,2.3197693323685122
18,story,2.1787311435930534
18,young,1.9926504918756915
18,career,1.8759572891035368
18,troubled,1.7801267820518256
18,lives,1.7737852557098814
18,true story,1.6799956334518784
18,war,1.5547294935484361
18,american,1.4868722377971255
27,terrifying,3.624896031684485
27,killer,3.5863476747816967
27,vampire,3.310921891838072
27,sinister,3.056057060355183
27,supernatural,2.915710167352747
27,remote,2.824766097642182
27,mysterious,2.816418786628369
27,house,2.69417789068648
27,evil,2.6851029078768107
27,horrifying,2.5754449656626894
28,assassin,3.5832124828178147
28,revenge,2.803559612674675
28,cop,2.779772668840298
28,fight,2.585343640747048
28,stop,2.553671025514759
28,government,2.501952489409843
28,agent,2.4882221672904516
28,cops,2.4466674714723333
28,save,2.4024133765916518
28,battle,2.2609153503906017
35,comedy,2.2578437194895224
35,wedding,2.22598988053802
35,friends,1.9740752131655084
35,eccentric,1.9708151070827509
35,just,1.8906360729523553
35,doesn,1.8895495282138004
35,guy,1.8450233858286025
35,decides,1.8374426918548896
35,big,1.7441548971339815
35,college,1.7042745856779522
36,story,4.636102004643247
36,war,3.4912562691263
36,british,3.003531526673743
36,rise,2.795206121432526
36,battle,2.782931255380447
36,england,2.7128702341303783
36,century,2.6539665348057486
36,nazi,2.6153028279949404
36,world war,2.423205447898646
36,wwii,2.3634623672973043
37,west,5.051110999648776
37,town,4.388590079169796
37,sheriff,3.9166395571910066
37,land,3.8708827049312413
37,posse,3.7272957851610244
37,outlaws,3.688427386298024
37,farmer,3.482932346361516
37,outlaw,3.3007462355245973
37,gold,2.9800028431037675
37,mexico,2.954447912763172
53,murder,3.533775662609591
53,deadly,2.7507828294501713
53,killer,2.616255965631432
53,secret,2.3954064918851707
53,crime,2.2352384948900577
53,government,2.0873245682138397
53,survival,1.9521243170994451
53,dangerous,1.858399419345812
53,trapped,1.8517339975385407
53,agent,1.8131798701792066
80,crime,5.015137931455845
80,murder,4.481077422061411
80,criminal,4.1538920639353085
80,police,3.6913607568147544
80,cop,3.6148878708001946
80,detective,3.5135427797150323
80,prison,3.467102647435606
80,heist,3.349334722832432
80,fbi,3.171767555317078
80,drug,3.1125609375336785
878,earth,6.0692158483986915
878,planet,5.271064188342987
878,alien,4.839223205153494
878,future,4.725121062823304
878,dr,3.1070143896060456
878,robot,3.0471560514686575
878,scientist,2.9809034416248794
878,space,2.9565621121465346
878,government,2.9139273097419145
878,aliens,2.9113132334750036
9648,murder,4.359519641470775
9648,detective,3.7898574126633
9648,mysterious,3.780293694693997
9648,mystery,3.5264387458368294
9648,killer,3.1584079407212076
9648,disappearance,2.8530376312725
9648,terrifying,2.7588679544182586
9648,murders,2.692394366511043
9648,investigate,2.6511000474685327
9648,conspiracy,2.6495057804377766
10402,music,7.530866576094646
10402,singer,5.10578349893093
10402,dance,5.0853893154631535
10402,musical,4.461276504380541
10402,rock,4.436183054115111
10402,band,4.245563198611133
10402,star,3.8090823645827196
10402,musician,3.5209381080936355
10402,singing,3.181761909048101
10402,rise,2.87896603855601
10749,love,7.686829249552338
10749,relationship,3.7380623297281295
10749,romance,3.626994852341887
10749,falls,3.519556324870234
10749,romantic,2.8615537244495077
10749,affair,2.5562842847657827
10749,wedding,2.51072767553697
10749,marriage,2.486008105584226
10749,woman,2.3646817466917227
10749,heart,2.3133019854837245
10751,named,3.372534318013316
10751,adventure,3.301283983940853
10751,dog,3.0021494400183037
10751,christmas,2.804051771939369
10751,princess,2.7752061359882885
10751,kids,2.6496037560841383
10751,children,2.4362352582667697
10751,cat,2.3803024548331053
10751,evil,2.3414344320713965
10751,magical,2.2741980650218165
10752,war,9.650453277492128
10752,army,5.182475156263824
10752,nazi,4.790163916329125
10752,world war,4.135180870377151
10752,american,4.133551307573878
10752,afghanistan,3.5680613958094476
10752,battle,3.5485034438320446
10752,vietnam,3.3943186948655106
10752,german,3.2955751193485696
10752,soldiers,3.0707356804735446
10770,witch,3.208811654747103
10770,peace,3.11793662242943
10770,holiday,2.7709158080938385
10770,universe,2.706510124251882
10770,movie,2.7012909526196074
10770,zed,2.6990650525710524
10770,learn,2.5710994369180717
10770,headed,2.5614619262483505
10770,inherits,2.552819735365158
10770,religious,2.447029173193349
